state_abbr_text,county_geoid_text,county_name_text,has_data_center_flag_01,has_hyperscaler_flag_01,has_pushback_flag_01,n_facilities_count,n_hyperscaler_count,total_mw_announced_mw,res_rate_usd_per_kwh_2020,lcoe_mean_usd_per_mwh_2024,mode_util_type_text_2020,mode_util_pop_pct_2020,degree_days_mean_dd_2020,total_pop_count_2020,bldg_commercial_sqft_2020,bb_total_conns_thousands_2024,bb_business_conns_thousands_2024,water_thermoelectric_freshwater_mgalday_2015,water_total_freshwater_mgalday_2015,water_per_capita_galday_2015,renewable_total_mwh_2020,pv_utility_mwh_2020,wind_land_mwh_2020,svi_pctile_2018,dac_score_index_2020,energy_burden_pct_2020,lmi_hh_pct_2020,black_pct_2020,hispanic_pct_2020,med_home_value_usd_2020,unemployed_pct_2020,ghg_grand_total_mt_2020
AK,02013,Aleutians East Borough,0,0,0,0,0,,22.57,,,,,3389.0,277800.0,1.0,0.0,0.0,2.32,694.4028733912002,,,,0.5803,0.0,0.0459,41.5,2.83,8.73,136700.0,19.69,
AK,02016,Aleutians West Census Area,0,0,0,0,0,,22.57,,,,,5708.0,4418370.0,1.0,0.0,0.0,2.66,466.5029814100316,,,,0.4927,0.0,0.0374,34.23,2.93,13.82,230200.0,15.93,
AK,02020,Anchorage Municipality,0,0,0,0,0,,0.212,,Cooperative,100.0,,292090.0,1876205870.0,116.0,13.0,0.0,130.38,436.4987696479687,,,,0.4602,18.5,0.0249,41.56,5.09,9.38,314194.74,28.76,
AK,02050,Bethel Census Area,0,0,0,0,0,,0.5003,,Cooperative,100.0,,18263.0,1716170.0,,,0.0,0.41,22.84631672796166,,,,0.9748,0.0,0.0604,44.45,0.79,1.94,171700.0,38.32,
AK,02060,Bristol Bay Borough,0,0,0,0,0,,22.57,,,,,739.0,544280.0,1.0,,0.0,2.1,2354.2600896860986,,,,0.3525,0.0,0.0566,44.01,0.54,10.15,222200.0,25.65,
AK,02066,Copper River Census Area,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
AK,02068,Denali Borough,0,0,0,0,0,,22.57,,,,,2502.0,3953520.0,,,32.46,32.63,17003.647733194375,,,,0.101,0.0,0.0485,40.22,2.16,1.48,233700.0,22.44,
AK,02070,Dillingham Census Area,0,0,0,0,0,,0.5003,,Cooperative,100.0,,4934.0,499170.0,2.0,0.0,0.0,0.35,70.04202521512907,,,,0.8682,0.0,0.0664,40.14,1.5,3.02,172400.0,37.96,
AK,02090,Fairbanks North Star Borough,0,0,0,0,0,,0.2513,,Cooperative,100.0,,98455.0,303537910.0,38.0,5.0,33.84,70.52,707.811825636599,,,,0.3446,17.0,0.0318,39.11,4.48,8.18,231966.67,28.64,
AK,02100,Haines Borough,0,0,0,0,0,,0.2869,,Investor Owned,100.0,,2547.0,1635670.0,,,0.0,1.84,726.1247040252566,,,,0.207,0.0,0.039,45.47,0.0,5.18,263900.0,40.97,
AK,02105,Hoonah-Angoon Census Area,0,0,0,0,0,,22.57,,,,,2135.0,777020.0,1.0,0.0,0.0,0.54,253.16455696202533,,,,0.4178,0.0,0.0558,42.12,3.19,9.27,221600.0,36.99,
AK,02110,Juneau City and Borough,0,0,0,0,0,,0.1251,,Investor Owned,100.0,,32099.0,109202270.0,14.0,2.0,0.0,46.1,1407.3757479545732,,,,0.2987,0.0,0.0254,42.99,0.85,6.93,356416.67,32.29,
AK,02122,Kenai Peninsula Borough,0,0,0,0,0,,0.2634,,Cooperative,68.19,,58809.0,95255320.0,24.0,3.0,0.41,10.24,176.37231092509344,,,,0.4073,0.0,0.0448,42.84,0.55,4.25,239971.43,42.78,
AK,02130,Ketchikan Gateway Borough,0,0,0,0,0,,0.1157,,Municipal,100.0,,13833.0,24702650.0,7.0,1.0,0.0,48.12,3510.10285214093,,,,0.5548,18.1,0.0311,42.42,0.66,5.48,316600.0,31.25,
AK,02150,Kodiak Island Borough,0,0,0,0,0,,0.5003,,Cooperative,100.0,,13383.0,21058130.0,5.0,1.0,0.0,14.95,1076.3913888688892,,,,0.7006,0.0,0.0362,42.24,0.4,9.05,295025.0,26.55,
AK,02158,Kusilvak Census Area,0,0,0,0,0,,0.5003,,Cooperative,100.0,,8298.0,7920.0,,,0.0,0.66,81.29079935952704,,,,0.9334,0.0,0.0832,39.37,0.07,1.13,72800.0,44.73,
AK,02164,Lake and Peninsula Borough,0,0,0,0,0,,22.57,,,,,1156.0,244760.0,1.0,0.0,0.0,0.34,217.530390275112,,,,0.7978,0.0,0.1009,40.71,6.92,0.26,120500.0,29.21,
AK,02170,Matanuska-Susitna Borough,0,0,0,0,0,,0.2156,,Cooperative,100.0,,107360.0,142718930.0,43.0,5.0,0.0,8.46,83.68366388050843,,,,0.3172,16.22,0.041,43.27,1.27,5.22,243541.67,40.06,
AK,02180,Nome Census Area,0,0,0,0,0,,0.5003,,Cooperative,100.0,,10009.0,2347800.0,3.0,1.0,0.0,0.75,76.17306520414381,,,,0.9299,0.0,0.0644,42.96,0.71,1.95,174700.0,34.63,
AK,02185,North Slope Borough,0,0,0,0,0,,22.57,,,,,9375.0,2601850.0,5.0,3.0,0.0,1.5,154.84670176525242,,,,0.7344,0.0,0.0247,43.85,1.57,4.06,145950.0,22.83,
AK,02188,Northwest Arctic Borough,0,0,0,0,0,,0.4044,,Cooperative,100.0,,7709.0,160220.0,2.0,0.0,0.0,5.45,703.0443756449948,,,,0.9354,0.0,0.0594,42.62,0.92,2.48,161300.0,39.54,
AK,02195,Petersburg Census Area,0,0,0,0,0,,22.57,,,,,3278.0,3992000.0,,,0.0,0.83,261.2527541706012,,,,0.665,0.0,0.0395,44.85,2.01,7.75,228400.0,39.66,
