county_geoid_text,pm25_median_ugm3_2018_2022,pm25_mean_ugm3_2018_2022,pm25_max_year_med
01001,8.59175,9.060424,9.2205
01003,8.0741005,8.575946,8.6
01005,8.1104,8.838516,8.99575
01007,8.078199,8.738759,8.854
01009,8.102,8.745359,8.791
01011,8.051625,8.7716875,8.535
01013,7.7979,8.30028,8.329
01015,8.16095,8.784079,8.885
01017,8.182875,8.993051,8.745
01019,8.050325,8.633664,8.693
01021,8.21335,8.75748,9.123
01023,7.624875,8.158403,8.4815
01025,7.771225,8.280397,8.491
01027,7.7473745,8.420216,8.555
01029,7.866075,8.490481,8.6155
01031,8.174899,8.652616,9.186625
01033,7.0432253,7.6310706,7.581125
01035,7.7563996,8.302767,8.382
01037,7.9554,8.641515,8.76
01039,7.95055,8.384689,8.69275
01041,7.9268007,8.42231,8.3415
01043,8.029775,8.588893,8.572
01045,8.243151,8.791731,9.355375
01047,7.9859,8.488499,8.802
01049,7.863875,8.458285,8.3375
01051,8.47365,9.07073,9.141
01053,7.9315004,8.486157,8.346
01055,8.1875,8.816179,8.766
01057,7.53535,8.164085,8.195
01059,7.044675,7.6113405,7.572
01061,8.112725,8.626588,9.17275
01063,7.714025,8.251104,8.407
01065,7.6915,8.31726,8.536
01067,8.128099,8.8478985,9.335
01069,8.393225,8.973466,9.676624
01071,7.4670997,7.974233,7.8272495
01073,9.164225,9.72452,9.747
01075,7.5559998,8.140108,8.201
01077,6.97095,7.466886,7.5325003
01079,7.3097,7.935308,7.81525
01081,8.430025,9.2523985,8.917
01083,7.435125,7.96848,7.8546247
01085,7.991075,8.524874,8.555
01087,8.234449,8.995234,8.845
01089,7.7408,8.315384,8.111
01091,7.68145,8.205055,8.4945
01093,7.167325,7.816044,7.769
01095,8.086801,8.639592,8.4905
01097,8.6717005,9.210409,9.15925
01099,7.74285,8.272173,8.382
01101,8.726649,9.30924,9.178
01103,7.8169,8.439764,8.208
01105,7.7978754,8.350539,8.672
01107,7.748075,8.347227,8.511
