county_geoid_text,solar_upv_cf_annual_2023,wind_onshore_cf_annual_2023
01001,169481.08695870225,180569.95263448314
01003,169347.01393690042,198697.43909416525
01005,169496.30714222096,181691.07324387267
01007,169269.40442284785,173498.6957852989
01009,169189.93995157376,190821.59768351912
01011,170047.94077475418,189919.4683916145
01013,169967.92121720355,183056.93727811505
01015,168861.6405973146,160238.32480316854
01017,168654.2975948793,177517.2229436724
01019,168030.33548037725,147864.44901126943
01021,169137.39020425745,190605.3685721634
01023,169389.97367908078,166353.73152515
01025,171056.69968330621,170468.4340674092
01027,170196.09510473447,192150.42567900562
01029,170107.8953851043,187427.51972524542
01031,168689.0598558,196570.097323375
01033,166976.06357453673,209692.01085449156
01035,169976.2530780363,183390.05329614112
01037,168638.84220171795,181878.13995404102
01039,168432.8987469183,188629.40091181046
01041,169565.30896117614,191284.10794440907
01043,167831.14249043376,201137.32442557535
01045,169212.08786417177,196357.5783206871
01047,169421.80060511036,171110.61866571725
01051,168682.3542842,171807.8885443
01053,169614.99712368727,190141.2441243091
01055,168389.31186547826,167580.22398259628
01057,167761.71819631493,187576.66333323205
01059,168533.1794200919,233144.9716811027
01061,168913.92127442604,203173.67171833728
01063,168898.6186619362,174764.15044932446
01065,169580.96454104164,178504.60407226562
01067,170201.72045468295,197066.27433737804
01069,169691.55152875296,206932.5311679765
01071,167408.40786224772,164565.80930655045
01073,168376.08861135168,182728.3939359572
01075,167488.49987927108,192079.83094209037
01077,166269.59075336042,207395.31278845685
01079,168026.84983017878,218509.06284537681
01081,168595.33883298901,186309.9774078132
01083,165861.25343585364,224753.85282553046
01085,169338.35187879147,179579.94286084833
01087,168483.49533441896,170298.55297767598
01089,166216.1197354762,201364.2421548831
01091,170288.38923195453,174963.30101640208
01093,167867.65341672092,208896.49074537208
01095,168107.7101872857,197765.94351965713
01097,168489.19050679888,201893.4879823719
01099,171142.0196491683,177597.10313522443
01101,169198.0017382479,180983.0502457269
01103,166918.15150111562,210688.44656541618
01105,169750.53765196117,177530.03094372817
01107,168180.04469044175,182292.40449890762
01109,170090.1182617371,198233.8922713763
01111,168602.52756566665,182469.3615973274
01113,167803.703569511,168444.46899239012
01117,168138.44040078722,169976.19036284255
01119,169042.8228682085,172318.41056527413
01121,168275.28311506787,161848.85614604072
01123,169108.46308804548,169785.08346954093
01125,168556.84213373845,179969.08816788206
01127,167898.5465145,171147.7192632773
01129,170552.60623355344,175759.85208880503
01131,170321.8439626316,164922.7537664248
01133,167591.81337059115,201487.8674557127
04001,204187.8052489944,226126.747252154
04003,209182.29140632856,203128.04135332908
04005,204116.5685222124,233062.2743503675
04007,201244.67731763775,168256.65141887058
04009,205377.26129572451,189635.63814054578
04011,206088.53723669812,185406.6681114094
04012,201426.59633186477,159402.93253951313
04013,198048.58684143884,144903.52016749157
04015,201856.39288638643,210831.41680011427
04017,203937.30599143787,224393.6641216728
04019,204928.73011708655,175985.93414845894
04021,200033.0788130032,154105.34714746347
04023,209576.7257817514,206821.57113072928
04025,201370.18120853297,186450.25521884207
04027,202853.59108822155,162934.38361825078
05001,164760.2951833129,260347.58398321772
05003,167018.8955044502,211117.46192176014
05005,169099.6808428393,203336.9971051488
05007,171391.53679219141,289963.49194908596
05009,171958.19908929142,244538.25272366288
05011,165965.9123179572,195219.37987801072
05013,165682.78524705977,191356.8677635435
05015,171796.18109214894,259962.03074885107
05017,167208.6126259208,250798.6473208911
05019,165209.57508473945,176238.10236949427
05021,167167.18018307182,273696.60548837564
05023,168392.9599347284,216773.8170045926
05025,164586.43245620572,201134.73931137714
05027,165944.12774279912,208532.16895023143
05029,168421.53637764152,170281.54103038364
05031,167083.5884155098,280180.5098730294
05033,168349.1685946744,192640.4499209593
05035,165037.61150501686,271572.6040270843
05037,166597.1012903978,282484.78866246407
05039,165368.73714038462,199498.95405073848
05041,165144.19791341666,251758.68079917083
05043,165903.21896991215,218027.85670151046
05045,166450.5803466364,207392.86493683959
05047,169232.23053351097,162033.06438346155
05049,168447.12816559777,239240.36979609495
05051,167481.0444903238,188404.61779389525
05053,164332.92072095,200100.9555597389
05055,166869.12633534544,279061.8287791273
05057,166393.87993892236,215027.0761595114
05059,165773.34587207017,190583.8746489415
05061,166095.7558498827,179000.91351801853
05063,168236.3764617009,226737.85085558484
05065,169130.82474230722,210479.2485669518
05067,167651.8986179891,269926.14597078145
05069,164827.9664402161,243516.47924199636
05071,170190.0127577892,154104.3186000595
05073,166002.10459938273,223566.00928293826
05075,167450.19110836362,253637.3905163125
05077,164519.39705195403,271446.4669246724
05079,165435.40415415153,239732.12637455759
05081,166169.1095853913,208931.1555111553
05083,170397.89186656158,177582.91371806402
05085,164740.54144224036,258421.53288888413
05087,172214.12243605783,284198.4968147975
05089,170059.52176282968,206848.12329753843
05091,166191.2920590535,230715.1611714706
05093,165801.94217041763,278328.2076510996
05095,164500.26064250286,259660.55074330285
05097,168446.10984911403,195104.73102167546
05099,165764.58751589534,206552.26289231976
05101,173316.48478244207,237869.51620453649
05103,165745.66279528366,188627.14774942308
05105,169586.82890601206,193861.39752094576
05107,164856.3532751,263397.2571674429
05109,166516.4011202139,183979.353209615
05111,166783.6791127466,281857.86519242986
05113,168844.49236052777,217501.5239361071
05115,170142.429829849,166277.62247257552
05117,164728.042302398,264195.54780170147
05119,164663.22662943363,220628.25671878317
05121,167443.65328144445,237809.59575154498
05125,166036.61618174432,210815.35571562557
05127,170939.19111815674,195810.14710784328
05129,172653.6497604974,238496.16408280312
05131,169957.78566994937,196575.3401138671
05133,165382.07018317684,171443.9815686951
05135,167974.10451027908,228462.66333145928
05137,170325.1548894535,233794.96637573838
05139,167340.5863159538,193429.28943566995
05141,170252.8716601368,205055.25740826887
05143,171913.82477145162,292325.01739393186
05145,165945.81807737335,232019.6038069805
05147,165810.57541198246,271097.2689230117
05149,170247.69791501516,163641.1629006212
06001,181160.89346677158,161650.72017231473
06003,204679.06880533334,269774.0578274601
06005,182901.7797068409,124589.3351442784
06007,177957.04577587344,181278.90533947095
06009,183153.79133290236,126040.44434050506
06011,181688.6238594488,189777.2512009458
06013,183014.00936804977,216094.5899260181
06015,162498.48038274999,180305.73132191782
06017,185948.24266747676,153787.42499922827
06019,195063.8973634083,128749.76662532584
06021,181418.31326518062,183649.40414315969
06023,169389.16608056374,178075.85033095296
06025,201539.00953115692,216346.2953084195
06027,208019.74626275865,203245.06554586184
06029,197013.16987436404,179443.9421417893
06031,188104.58944209502,130540.144029445
06033,183121.53987391846,168878.39555154074
06035,191477.36292058666,180659.34880899175
06037,190495.1053099452,175079.65050018922
06039,191430.30391313386,147458.66994804516
06041,174330.66948776552,225207.34283346898
06043,189763.4817403445,108230.98385683732
06045,178229.30050017932,165897.01436842268
06047,185326.42811232744,189169.51182974514
06049,184716.3925130349,190767.54392671236
06051,215720.0961263235,219944.32433940182
06053,189844.6783140095,145753.24881834668
06055,181605.31389571627,153891.5511034744
06057,185555.0411731769,162554.90655998557
06059,174081.99547242036,76507.47570426106
06061,184389.78806469683,163157.0293827897
06063,190640.19857756098,171830.159897916
06065,200131.40197772326,177743.92250766794
06067,177928.5814643107,181442.1710724107
06069,192081.18226737157,141520.96112763093
06071,204295.21642136236,212568.9618476392
06073,192310.47254677844,159006.95421652577
06075,166237.09180958333,260479.94677841666
06077,179949.22482480685,191284.8640750122
06079,190702.0969377745,150214.9862731623
06081,168973.854226088,180127.42064114398
06083,189846.53174518098,178064.44163786137
06085,184488.0343870488,129047.07138520054
06087,174100.1114065,116461.11967748414
06089,180851.59192076846,164883.7760762991
06091,192390.69250812044,203508.1590355073
06093,181370.84701591867,159296.8550724585
06095,182344.7403040875,296936.8766824459
06097,176789.50319767257,159750.43646840932
06099,182988.75915998378,177881.4400342204
06101,178212.71982517614,196675.947249125
06103,180402.75183178292,190989.0303282942
06105,181452.18906133441,146179.53442631807
06107,197290.0541370301,100739.10819657921
06109,194498.86017315055,153329.36331421504
06111,192344.63401657064,146549.80762635404
06113,181563.1505411536,216322.95829837886
06115,177227.16232946236,161045.18669158604
08001,184407.7187227941,197060.47194809705
08003,206926.6107464238,188602.43486314284
08005,185688.59493496903,213925.53242777433
08007,199135.32313542187,129243.7975966172
08009,196933.05963774215,366911.65685704094
08011,195118.03537191032,275650.9256810852
08013,190004.9464777594,226161.6330093302
08014,183324.835861,109811.07461054545
08015,210526.75197445048,311297.8222140648
08017,191661.21374856165,320450.42698709783
08019,203663.81100771052,364553.8039975789
08021,211918.2188982534,252104.37328805725
08023,207689.1414355014,263154.24481237255
08025,195123.07632379566,214518.8482307261
08027,209553.3488180566,264575.70990818867
08029,193636.053122897,115893.40399085455
08031,184327.3209279,119528.37793804001
08033,202508.73901736774,214844.7708939613
08035,191005.97312114225,188370.64306056066
08037,197411.66343627142,154769.8007805408
08039,189943.1842410094,272274.39497393416
08041,195508.39546864657,231238.41764855862
08043,205133.50655135827,253890.56961434468
08045,195611.6136909615,175218.21074217267
08047,198790.08233111363,336299.0463599091
08049,190743.2107410282,169276.72427331953
08051,201771.11610533547,175808.07372902663
08053,210913.40386698465,243027.83088098466
08055,207081.52529543138,310894.7892702571
08057,191670.99389074734,232680.911404
08059,189037.5539244798,151420.17048779372
08061,193363.8341061196,289974.74733412155
08063,187229.1292269053,346525.2329515008
08065,207083.56558862858,255283.0665529524
08067,203439.25872532785,159600.58450582376
08069,189319.72695783773,289268.14281631395
08071,201712.24082239458,291010.3218965344
08073,191142.5271760539,275376.96446230053
08075,181460.48624185633,277621.16572499997
08077,196137.45037648495,172070.8054900031
08079,207999.254644344,227162.238431848
08081,188449.52569450182,175054.0516078992
08083,203604.4001932058,172772.76410376868
08085,196962.3391387972,151737.53418527613
08087,181752.29559228034,214890.11592880054
08089,195988.1898793079,236837.53804727521
08091,199459.4410475855,191162.84364213818
08093,208063.17129450943,282513.37684750155
08095,180393.34349026176,338454.910461
08097,200151.31010339147,197432.84440069395
08099,193765.7942453113,315320.27090638375
08101,197804.13969259302,189858.337673016
08103,190095.3016793686,175764.4515797372
08105,211408.63742066038,233438.7661488868
08107,186671.90563500885,148104.14809356572
08109,207093.28138129943,225679.99228806852
08111,210063.5548020263,239092.99501479825
08113,200187.39557962943,201325.67849817983
08115,181093.9797816415,331915.2747563962
08117,200852.8995163722,233030.08272228888
08119,201751.35602311802,240410.21356647825
08121,183557.0870828898,302895.6360693843
08123,183727.3161117645,219171.24227813852
08125,182044.7477331261,323926.31065357773
09001,153424.65726028493,249895.72157194084
09003,152307.42894372938,204916.3001111101
09005,154614.4552814037,251996.77919694813
09007,153332.99746537837,243404.57299735135
09009,153952.54558607953,237371.33593222726
09011,153408.18889282233,256943.2658610152
09013,153877.62033233614,248555.53322960506
09015,154081.17700928665,240766.04749141334
10001,162258.52035735463,295956.13080772094
10003,159207.62646366935,261978.24534055646
10005,163277.45576208856,309637.0901775646
12001,172704.29298754578,201654.9638305669
12003,169785.23493234286,189463.17288658285
12005,169285.6007936278,210405.33472778474
12007,171644.54586657832,201184.2422002048
12009,168159.0612328944,209537.1229159208
12011,166738.0192636277,158782.5189547337
12013,169114.78614628915,189333.328511
12015,176281.4827170529,172810.04477513942
12017,174551.98070897127,207140.60707424136
12019,170675.7885735759,206809.9703267435
12021,174390.61301393964,151404.0101561729
12023,171104.41111340345,191225.31071503434
12029,173047.14643940976,202275.1733659268
12031,167814.41428347302,216704.23983090871
12033,168552.17298696353,200957.06938990625
12035,171038.59887791664,206610.73265880556
12037,168048.75463935293,199422.4790004706
12039,169476.78476521937,185915.46394618708
12041,172899.1851628269,199687.4228094904
12043,174378.82073944362,169324.4978820109
12045,168871.45718585365,198932.77707343904
12047,171347.0482433624,191913.81768204697
12049,175046.07144912565,181427.70305744503
12051,173990.46156848426,161602.55476569914
12053,174134.56317475176,205865.80005808512
12055,174445.10143471518,173816.11643817957
12057,173103.3930510782,193537.22938609772
12059,167851.0431399648,196507.0753536479
12061,171596.48033814476,203613.00627238816
